"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"        Utah (People)","277000","284000","292000","299000","308000","316000","327000","339000","351000","363000","377000","387000","399000","410000","422000","430000","436000","444000","437000","446000","453000","457000","467000","474000","481000","487000","494000","500000","504000","508000","509000","513000","517000","520000","522000","526000","527000","529000","535000","543000","552000","551000","575000","631000","605000","591000","638000","636000","653000","671000","696000","706000","724000","739000","750000","783000","809000","826000","845000","870000","900000","936000","958000","974000","978000","994000","1009000","1019000","1029000","1047000","1059273","1101192","1135449","1170040","1200471","1236030","1274928","1319512","1367510","1420238","1461037","1515471","1558314","1594943","1622342","1642910","1662834","1678119","1689372","1705864","1729722","1771941","1821498","1875993","1930436","1976774","2022253","2065397","2100562","2129836","2244502","2283715","2324815","2360137","2401580","2457719","2525507","2597746","2663029","2723421","2775413","2814797","2854146","2898773","2938327","2983626","3044241","3103540","3155153","3203383","3283982","3339284","3381236"
"        Vermont (People)","344000","347000","349000","350000","353000","354000","355000","355000","354000","356000","357000","358000","359000","361000","362000","360000","360000","372000","352000","352000","353000","355000","354000","354000","355000","355000","356000","357000","358000","359000","360000","359000","358000","357000","357000","357000","357000","356000","356000","358000","363000","348000","343000","327000","314000","315000","342000","354000","359000","369000","379000","378000","375000","379000","377000","375000","377000","376000","380000","387000","389000","390000","393000","397000","399000","404000","413000","423000","430000","437000","444732","454318","463143","468430","473002","479713","484928","491931","498109","505372","511456","515594","519109","523302","526660","530035","534066","540267","549763","557707","564526","567141","570115","574004","578900","582827","586352","588665","590579","593740","609618","612223","615442","617858","619920","621215","622892","623481","624151","624817","625886","627197","626361","626603","625693","625810","624366","625132","624802","624046","642936","647093","647110"
"        Virginia (People)","1858000","1887000","1894000","1890000","1889000","1917000","1942000","1952000","1994000","2038000","2071000","2092000","2122000","2176000","2241000","2294000","2316000","2313000","2359000","2318000","2347000","2395000","2412000","2423000","2426000","2423000","2419000","2433000","2435000","2425000","2427000","2445000","2452000","2460000","2485000","2520000","2552000","2590000","2638000","2670000","2720000","2855000","3038000","3130000","3248000","3193000","3212000","3201000","3207000","3292000","3315000","3434000","3504000","3557000","3555000","3588000","3722000","3844000","3914000","3951000","3986000","4095000","4180000","4276000","4357000","4411000","4456000","4508000","4558000","4614000","4651448","4750838","4824472","4901292","4971069","5047395","5121863","5193112","5270240","5307945","5346818","5444097","5492783","5564657","5643870","5715153","5811700","5932268","6036909","6120246","6213526","6283853","6383315","6464795","6536771","6601392","6665491","6732878","6789225","6872912","7105817","7198362","7286873","7366977","7475575","7577105","7673725","7751000","7833496","7925937","8024004","8102437","8187456","8255861","8315430","8367303","8417651","8471011","8510920","8556642","8637193","8657348","8679099"
"        Washington (People)","523000","583000","651000","719000","782000","842000","904000","967000","1028000","1091000","1148000","1167000","1184000","1209000","1231000","1239000","1255000","1287000","1341000","1333000","1373000","1405000","1415000","1433000","1467000","1494000","1516000","1538000","1551000","1555000","1568000","1581000","1584000","1592000","1610000","1629000","1653000","1681000","1698000","1715000","1740000","1789000","1901000","2027000","2092000","2206000","2288000","2211000","2255000","2294000","2387000","2424000","2448000","2466000","2516000","2604000","2668000","2724000","2773000","2821000","2855000","2882000","2942000","2955000","2961000","2967000","3057000","3174000","3270000","3343000","3413244","3447553","3447885","3478782","3549946","3621339","3693610","3776050","3889073","4017632","4132156","4235731","4276552","4300266","4343656","4400098","4452720","4531901","4639893","4746316","4900780","5013443","5139011","5247704","5334896","5431024","5509963","5604105","5687832","5756361","5910512","5985722","6052349","6104115","6178645","6257305","6370753","6461587","6562231","6667426","6743009","6827479","6898599","6966252","7057531","7167287","7299961","7427951","7526793","7614024","7724566","7741433","7784477"
"        West Virginia (People)","959000","972000","1000000","1037000","1064000","1094000","1122000","1149000","1174000","1203000","1231000","1266000","1291000","1317000","1362000","1387000","1414000","1439000","1438000","1464000","1470000","1485000","1498000","1526000","1577000","1593000","1623000","1671000","1696000","1717000","1733000","1740000","1747000","1752000","1771000","1794000","1808000","1813000","1828000","1868000","1907000","1885000","1831000","1741000","1706000","1708000","1826000","1883000","1899000","1930000","2006000","1984000","1957000","1929000","1905000","1880000","1857000","1843000","1845000","1855000","1853000","1828000","1809000","1796000","1797000","1786000","1775000","1769000","1763000","1746000","1744237","1770657","1797648","1806360","1815447","1842250","1879503","1908088","1923395","1942146","1949644","1954124","1949604","1945061","1927697","1906831","1882350","1857585","1830215","1806568","1792481","1798212","1805462","1816179","1818490","1820560","1818983","1815588","1811688","1806929","1807021","1801481","1805414","1812295","1816438","1820492","1827912","1834052","1840310","1847775","1854265","1856606","1857446","1854768","1850569","1843332","1832435","1818683","1805953","1795263","1791562","1785249","1774035"
"        Wisconsin (People)","2072000","2109000","2141000","2171000","2202000","2231000","2250000","2268000","2292000","2317000","2345000","2369000","2407000","2438000","2490000","2535000","2562000","2587000","2597000","2600000","2679000","2722000","2761000","2803000","2833000","2863000","2892000","2916000","2923000","2934000","2950000","2990000","3021000","3040000","3054000","3070000","3082000","3088000","3098000","3121000","3143000","3140000","3053000","3014000","2980000","2961000","3167000","3250000","3314000","3391000","3438000","3439000","3469000","3506000","3608000","3679000","3742000","3791000","3843000","3891000","3962000","4009000","4049000","4112000","4165000","4232000","4274000","4303000","4345000","4378000","4417821","4462155","4502412","4524244","4545782","4578986","4595904","4626514","4646108","4682811","4705767","4726343","4728870","4721438","4735563","4747767","4755618","4777919","4822388","4856574","4902265","4952675","5004636","5055318","5095504","5137004","5173828","5200235","5222124","5250446","5373999","5406835","5445162","5479203","5514026","5546166","5577655","5610775","5640996","5669264","5690538","5705840","5720825","5738012","5753199","5762927","5775170","5793147","5809319","5824581","5896700","5879978","5890543"
"        Wyoming (People)","93000","100000","105000","108000","111000","114000","118000","125000","133000","141000","147000","150000","153000","157000","163000","167000","174000","186000","181000","191000","197000","203000","208000","211000","215000","216000","217000","219000","220000","223000","226000","229000","230000","230000","233000","237000","240000","243000","246000","248000","250000","247000","251000","247000","242000","239000","254000","258000","269000","277000","290000","291000","293000","290000","293000","307000","312000","314000","315000","320000","331000","337000","333000","336000","339000","332000","323000","322000","324000","329000","332416","340285","347345","354061","365501","381695","396952","413354","432880","454378","469557","491712","506400","510345","504896","499695","495633","476965","465101","458374","453401","457739","463491","469033","474982","478447","480085","480031","480045","479602","494300","494657","500017","503453","509106","514157","522667","534876","546043","559851","564531","567491","576656","582620","583159","586389","585243","579994","579054","580116","577664","579548","581629"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Census Bureau","Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States, States, Counties and Puerto Rico Commonwealth and Municipios","","https://www.census.gov/newsroom/press-kits/2020/population-estimates-detailed.html",,"2020","Annual"
,"Census Bureau","Table NC-EST2019-ASR5H, Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin","","https://www.census.gov/newsroom/press-kits/2020/population-estimates-detailed.html",,"2020","Annual"
,"Census Bureau","National Population Totals","Annual Estimate of Resident Population","https://www.census.gov/data/tables/time-series/demo/popest/2010s-national-total.html","https://www2.census.gov/programs-surveys/popest/tables/2010-2019/state/totals/nst-est2019-01.xlsx",,
,"Census Bureau","Intercensal Datasets and Population Estimate Tables","","https://www2.census.gov/programs-surveys/popest/tables/",,"2020","Annual"
"Exported on: 08/02/2024"
